Nayaki,Nayaki / Nayagi is a 2016 Telugu-Tamil bilingual comedy horror film# directed by Goverdhan Reddy. The film stars Trisha in the lead role# with Ganesh Venkatraman# Satyam Rajesh and Sushma Raj in supporting roles. The film is produced by Giridhar Mamidipally# who was the former manager of Trisha under Giridhar Production House# and has cinematography by Jagadeesh. Both versions of the film opened to negative reviews in mid-2016.,https://upload.wikimedia.org/wikipedia/en/7/74/Nayaki_poster.jpg,September 16# 2016 (2016-09-16),Giridhar Mamidipally,Mali G. (Tamil dialogues)#,Govi,Telugu,Trisha# Ganesh Venkatraman# Satyam Rajesh# Sshma Raj,105,7.4
Dhanush# besides acting# producing and distributing the venture in association with Escape Artists Motion Pictures# also worked as the lyricist and album producer on the film's original soundtrack with composer Anirudh Ravichander# who also composed the film's background score. The film focuses on Raghuvaran# a graduate who is unemployed for four years# and how he gets a job# whilst successfully overcoming various obstacles before and after finding employment.
Principal photography commenced in August 2013 and was completed by May 2014# with the film being shot primarily in Chennai. The film was released on 18 July 2014# and received positive critical reception. The film grossed ? 190.8 million on its opening weekend and earned a worldwide collection ? 530 million during its lifetime run. The film was dubbed into Telugu as Raghuvaran B.Tech# which was released on 1 January 2015.,https://upload.wikimedia.org/wikipedia/en/b/bb/VIP_movie_poster.jpg,10 January 2014 (2014-01-10),Dhanush,Velraj,Velraj,Tamil,Dhansh# Amala Pal,157,9.6
Veeram,Veeram (English: Valour) is a 2014 Indian Tamil action film directed by Siva and produced by Vijaya Productions. The film features Ajith Kumar in the lead role# while an ensemble supporting cast includes Tamannaah# Vidharth# Bala# Santhanam# Nassar# Pradeep Rawat and Abhinaya# among others. Pre-production works had been ongoing since December 2011# with shooting starting in April 2013. The film was released on 10 January 2014. The film received positive reviews from critics.,https://upload.wikimedia.org/wikipedia/en/a/a0/Veeram_poster.jpg,10 January 2014 (2014-01-10),Bharathi Reddy,Siva,Siva,Tamil,Ajith Kmar# Tamannaah# Vidharth# Bala# Santhanam,148,9.8
Kochadaiiyaan,Kochadaiiyaan (English: The king with a long# curly mane) is a 2014 Indian Tamil historical fiction epic film written by K. S. Ravikumar and directed by Soundarya R. Ashwin. It is India's first photorealistic motion capture film# featuring characters whose designs were based on the appearance and likeness of their respective actors. Rajinikanth# also Soundarya's father# enacted and voiced the two lead roles# and one surprise role in the film's final act. Deepika Padukone and Malayalam actress Shobana performed the female leads# whilst Aadhi and Jackie Shroff performed supporting characters. In addition to performing# R. Sarathkumar# Nassar and Rukmini Vijayakumar had also voiced their respective characters. The narrative follows the quest of an 8th-century warrior who seeks revenge after witnessing the unlawful punishment administered to his father# a good-hearted warrior in his kingdom# by the jealous ruler.
The film was the result of a complex development process# starting with the director's idea of directing and co-producing Sultan: The Warrior with Eros International in 2007# which was to feature Rajinikanth as a computer animated character. After cancelling the project due to lack of financial support# Soundarya and Eros turned their attention to producing Rana# which was to be a live-action historical fiction film directed by Ravikumar starring Rajinikanth and Padukone.,https://upload.wikimedia.org/wikipedia/en/9/98/Kochadaiiyaan.jpg,23 May 2014 (2014-05-23),
,K. S. Ravikumar,Soundarya R. Ashwin,Tamil,Rajinikanth# Deepika Padkone# Shobana,186,8.4
Pannaiyarum Padminiyum,Pannaiyarum Padminiyum (English: The Landlord and Padmini) is a 2014 Indian Tamil comedy-drama film based on the same-titled short film directed by debutant S. U. Arun Kumar of Naalaya Iyakunar fame. It features Vijay Sethupathi and Jayaprakash in the lead roles# with Thulasi# Aishwarya Rajesh and Bala Saravanan in supporting roles. Sneha and Attakathi Dinesh appear in brief guest roles. Music for the film was composed by debutant Justin Prabhakaran and editing by A. Sreekar Prasad while the cinematography is by Gokul Binoy.
The film revolves around an old man and his love for his vintage car Premier Padmini. The film began production in January 2013 and released on 7 February 2014 to critical acclaim and positive reviews.,https://upload.wikimedia.org/wikipedia/en/b/bf/Pannaiyarum_Padminiyum.jpg,7 February 2014 (2014-02-07),M. R. Ganesh,-,S. U. Arun Kumar,Tamil,Vijay Sethpathi# Jayaprakash# Aishwarya Rajesh# Bala Saravanan# Thlasi,163,8.2
Sathuranga Vettai,Sathuranga Vettai (English: Chess Hunt/Gambit hunt) is a 2014 Tamil black comedy-heist film written and directed by debutant H. Vinoth# starring Natarajan Subramaniam and Ishaara Nair. Produced by Manobala# it features music by Sean Roldan and cinematography by K. G. Venkatesh. The film# touted to be an indianized con movie# was released by Thiruppathi Brothers Film Media on 18 July 2014 and received positive reviews from critics.,https://upload.wikimedia.org/wikipedia/en/2/23/Sathuranga_Vettai_poster.jpg,18 July 2014 (2014-07-18),Manobala,H. Vinoth,H. Vinoth,Tamil,Natraj# Ishaara Nair# Ponvannan# Ilavaras,99,9
Yaamirukka Bayamey,Yaamirukka Bayamey is a 2014 Indian Tamil horror comedy film written and directed by debutant Deekay and produced by Elred Kumar. The cast includes Kreshna# Rupa Manjari# Karuna# Oviya and Anaswara Kumar. 15 technicians were introduced in the film# which started shooting in Nainital in October. Previously titled as Illa Aanalum Irukku# the film released on 9 May 2014  and received positive reviews. The film was later remade into Kannada as Namo Boothatma. Yaamirukka Bayamey is based on the 1998 Korean film The Quiet Family.,https://upload.wikimedia.org/wikipedia/en/9/9b/Yaamirukka_Bayamey.jpg,9 May 2014 (2014-05-09),Elred Kumar,Deekay,Deekay,Tamil,Kreshna# Rpa Manjari# Karnakaran# Oviya# Anaswara Kmar,134,7.1
Aranmanai,Aranmanai (English: Palace) is an Indian Tamil horror comedy film co-written and directed by Sundar C. The film features an ensemble cast including Sundar C. Vinay Rai# Santhanam# Hansika Motwani# Andrea Jeremiah# Raai Laxmi# Nithin Sathya# Kovai Sarala and Manobala. The film began production by the end of September 2013 and released on 19 September 2014 to highly positive reviews.,https://upload.wikimedia.org/wikipedia/en/c/c6/Aranmanai_Poster.jpg,19 September 2014 (2014-09-19),D. Dinesh Karthik,Venkat Raghavan,Sundar C.,Tamil,Andrea Jeremiah# Vinay Rai# Sndar C.# Hansika Motwani# Raai Laxmi# Santhanam# Nithin Sathya# Kovai Sarala,145,8.4
Meaghamann,Meaghamann (English: Captain of the Ship) is 2014 Tamil action drama film written and directed by Magizh Thirumeni and produced by Hitesh Jabak. The film features Arya and Hansika Motwani in the lead roles# while S Thaman composed the film's music.,https://upload.wikimedia.org/wikipedia/en/c/c8/Meagamann.jpg,21 November 2014 (2014-11-21),Nemichand Jhabak,Magizh Thirumeni,Magizh Thirumeni,Tamil,Arya# Hansika Motwani,138,9.1
Naaigal Jaakirathai,Naaigal Jaakirathai (English: Beware of Dogs) is a 2014 Indian Tamil comedy thriller film# written and directed by Shakti Soundar Rajan featuring Sibiraj and a Belgian Shepherd dog named Idoh in the lead# which is an Indian adaptation of the Hollywood comedy-crime film# Turner & Hooch. The movie was dubbed in Hindi as POLICE AUR TIGER.The film was produced by Sibiraj's father Sathyaraj under the banner Nathambal Film Factory# which had earlier produced Lee. While the music was composed by Dharan Kumar# cinematography was handled by Nizar Shifi and edited by Praveen K. L. Naaigal Jaakirathai received positive reviews from critics# and was one of the most profitable ventures of 2014.,https://upload.wikimedia.org/wikipedia/en/4/43/Naaigal_Jaakirathai.jpg,21 November 2014 (2014-11-21),Sathyaraj,Shakti Soundar Rajan,Shakti Soundar Rajan,Tamil,Sibiraj# Arndhati,144,7.8
Vishwaroopam,Vishwaroopam (titled Vishwaroop in Hindi) is a 2013 Indian spy thriller film written# directed and co-produced by Kamal Haasan# who also enacts the lead role. The film has Rahul Bose# Shekhar Kapur# Pooja Kumar# Andrea Jeremiah and Jaideep Ahlawat in supporting roles. Produced simultaneously as a bilingual in Tamil and Hindi and dubbed into Telugu language as Viswaroopam# the film features a soundtrack composed by Shankar-Ehsaan-Loy# with lyrics produced by Vairamuthu and Haasan himself# while Javed Akhtar translated them for the Hindi version.
Development of the project began after the release of Haasan's Manmadhan Ambu (2010) when several of the crew were brought in from the United States to lend their technical expertise. The direction was taken over by Haasan from Selvaraghavan and reports indicating a comparison with several English films surfaced during the production. The first teaser was revealed in April 2012 and first theatrical trailer was revealed in June 2012 – the Tamil version attracted 682#000 views# Telugu version 20#000 views on YouTube. Vishwaroopam is the first Indian film to utilize the new Auro 3D sound technology. The film was also to be the first Indian film to release via direct-broadcast satellite# also known as direct-to-home (DTH)# but after protests of theatre owners this plan was dropped.,https://upload.wikimedia.org/wikipedia/en/f/f1/Vishwaroopam_poster.jpg,10 May 2013 (2013-05-10),
,Kamal Haasan,Kamal Haasan,
,Kamal Haasan# Rahl Bose# Pooja Kmar# Andrea Jeremiah# Jaideep Ahlawat,125,9.4
Pandiya Naadu,Pandiya Naadu (English: Land of the Pandyans) is a 2013 Indian Tamil thriller-drama film written and directed by Suseenthiran and produced by Vishal. The film features Vishal# Vikranth and Lakshmi Menon in the lead roles# while Bharathiraja and Soori play other pivotal roles. The film has music composed by D. Imman. The film received positive reviews and was successful at the box office. It was dubbed in Hindi as Shiva Ka Badla and in Telugu as Palnadu. The film is being remade in Kannada as Rudra Tandava with Chiranjeevi Sarja.,https://upload.wikimedia.org/wikipedia/en/0/0a/Pandianadu.jpeg,2 November 2013 (2013-11-02),Vishal,Suseenthiran,Suseenthiran,Tamil,Vishal# Bharathiraja# Lakshmi Menon,91,7.5
Soodhu Kavvum,Soodhu Kavvum (English: Evil Engulfs) is a 2013 Tamil black comedy crime film directed by Nalan Kumarasamy. It features Vijay Sethupathi and Sanchita Shetty in the lead roles. The film was released on 1 May. The film's main concept is about how silly talk has engulfed people's day-to-day life and modern society. The film received positive reviews from critics and become a commercial success.,https://upload.wikimedia.org/wikipedia/en/9/93/Soodhu_kavvum.jpg,1 May 2013 (2013-05-01),C V Kumar,-,Nalan Kumarasamy,Tamil,Vijay Sethpathi# Sanchita Shetty,190,7.3
Arrambam,Arrambam (English: Beginning) is a 2013 Indian Tamil thriller drama film directed by Vishnuvardhan. Produced by A. Raghuram and co-written by Subha# the film features Ajith Kumar# Arya# Nayantara and Taapsee Pannu in lead roles. While the score and soundtrack of the film were composed by Yuvan Shankar Raja# the cinematography was handled by Om Prakash and editing by A. Sreekar Prasad.
Following pre-production works for six months and the official announcement of the project in May 2012# filming commenced in June 2012 and was held for the next 15 months. The majority of filming took place in Mumbai# where the story unfolds# while other shooting locations include Chennai# Bangalore# Dubai# Hyderabad# Mahabaleshwar# Jaisalmer# Leh and Ladakh. The film was not titled until it entered post-production and was mostly referred to as Thala 53 or Valai# a supposed working title. The film was released on 31 October 2013 and emerged a box-office success.,https://upload.wikimedia.org/wikipedia/en/5/55/Arrambam.jpg,31 October 2013 (2013-10-31),A. M. Rathnam,
,Vishnuvardhan,-,Ajith Kmar# Arya# Nayantara# Taapsee Pann,108,8.8
Neram,Neram (English: Time) is a 2013 Indian bilingual black comedy-thriller film# written# directed and edited by Alphonse Putharen in his directorial debut. Simultaneously made in the Malayalam and Tamil languages# it stars Nivin Pauly# Nazriya Nazim and Bobby Simha in both versions. Supporting roles were played by Manoj K. Jayan# Shammi Thilakan# and Lalu Alex in Malayalam and Nassar# Thambi Ramiah# John Vijay and Shabareesh Varma portrayed the characters in Tamil. The whole film is set within one day in Chennai. The music was scored by debutant Rajesh Murugesan while Anand C. Chandran handled the cinematography. The Malayalam version released on 10 May 2013# while the Tamil version released on 17 May. The film's both versions received positive reviews upon release. The film was a commercial success at the box-office.,https://upload.wikimedia.org/wikipedia/en/c/cd/Neram_poster_for_Malayalam_and_Tamil.jpg,17 May 2013 (2013-05-17),Koral Viswanathan,Alphonse Putharen,Alphonse Putharen,Malayalam,Nivin Paly# Nazriya Nazim# Bobby Simha# Ramesh Thilak,134,7.7
